"Timestamp","Do you travel?","Have you ever been influenced by websites or advertisements on web to visit the place?","If yes, what website?","What is the purpose of your travel?","How did you come up with the vacation location?","Where was your last vacation?","What is your age?","If looking for cultural experiences, do you use online help like expedia local expert or local guide?","When traveling do you visit landmarks or looking for cultural experiences?","On the scale of 1-5, 5 being strongly satisfied and 1 being strongly dissatisfied, how satisfied are you with the above experience?","When planning a vacation/travel how do you gather information about the place?","If using other websites, please enter here","If using mobile app, please add them here","When making travel arrangements which of the following do you use?","Is there anything you would like to see online that will help you get more satisfying travel experience.","If yes, please mention below"
"2015/11/24 11:47:41 AM EST","Yes","Yes","google blog search","Family Vacation","I always wanted to visit the place","Hawaii","26-35","Google search","Both","4","Google","","","Google;TripAdvisor;Expedia;Hotels.com;Hotwire","No",""
"2015/11/24 12:19:39 PM EST","Yes","No","","Family Vacation","Friends gave a good review;Searched online","Silver dunes","36-45","Expedia local expert","Both","4","Google","https://www.expedia.com, https://www.aaawa.com/travel/","","Google;TripAdvisor;Expedia","Yes","Cruise information"
"2015/11/24 12:44:28 PM EST","Yes","Yes","Trip advisor ","Family Vacation;Adventure","I always wanted to visit the place","Hawaii","26-35","Expedia local expert","Both","4","Google;Phone calls;Other websites","","","TripAdvisor;Expedia;Hotels.com;Kayak;Orbits","No",""
"2015/11/24 1:23:00 PM EST","Yes","No","Norwegian","Business;Family Vacation","I always wanted to visit the place","Alaska","46-55","none","Both","4","Google;Other websites","","","Expedia","",""
"2015/11/24 1:41:03 PM EST","Yes","No","","Family Vacation","Friends gave a good review","","26-35","none","Both","4","Google","","","Expedia;Hotwire;Kayak;Orbits","Yes",""
"2015/11/24 2:16:10 PM EST","Yes","Yes","","Family Vacation;Adventure","It was my son's dream holiday. ","Toronto, Canada ","36-45","Local guide","Both","4","Phone calls;Other websites","Local media/web, friends if they visited, advertising banner, hotel reception desk, visitor information center, ","","Google;Expedia;Hotwire;Orbits","No",""
"2015/11/24 3:32:56 PM EST","Yes","Yes","trip advisor","Family Vacation;Adventure","family visit","nyc","36-45","none","Both","5","Google;Other websites","","","Google;TripAdvisor;Hotels.com;Kayak;air bnb","",""
"2015/11/24 3:36:25 PM EST","Yes","No","","Family Vacation","I always wanted to visit the place","Florida","36-45","none","Both","5","Google","","","none of the above","No",""
"2015/11/24 3:43:10 PM EST","Yes","No","","Business;Adventure","Its where all my friends were","Las Vegas","18-25","none","Cultural experiences","4","Google","","","Google;Expedia;Hotels.com;Kayak","No",""
"2015/11/24 4:08:09 PM EST","Yes","Yes","","Family Vacation","I always wanted to visit the place;Friends gave a good review;Searched online","","36-45","Search online","Both","3","Google;Phone calls;Other websites","","","Google;Expedia;Hotwire;Kayak;Orbits","Yes",""
"2015/11/24 6:42:42 PM EST","Yes","No","","Family Vacation","I always wanted to visit the place","smoky mountain's","36-45","Expedia local expert","Both","4","Google","","","Google;Hotels.com;Hotwire;Kayak","No",""
"2015/11/24 7:51:33 PM EST","Yes","Yes","Make my trip, Goibibo","Family Vacation;Adventure","I always wanted to visit the place","Shirdi","18-25","none","Both","4","Google;Phone calls","","","Google","No",""
"2015/11/24 7:54:43 PM EST","Yes","No","","Family Vacation","I always wanted to visit the place","Miami","26-35","Expedia local expert","Both","5","Google;Phone calls","","","Google;Kayak","No",""
"2015/11/24 8:50:24 PM EST","Yes","No","","Family Vacation","Friends gave a good review","Atlanta","36-45","Local guide","Landmarks","4","Google","","","TripAdvisor;Expedia;Cheap tickets;Hotels.com","No",""
"2015/11/24 10:02:11 PM EST","Yes","Yes","","Family Vacation;Adventure","Friends gave a good review;Went to concert there and made a 5 day vacation out of it. ","Nashville TN","26-35","none","Both","4","Google;Other websites","","","Google;Expedia;Cheap tickets;Kayak","",""
"2015/11/24 11:21:25 PM EST","Yes","No","","Family Vacation","Friends gave a good review","india","26-35","none","Both","3","Google","","","Expedia","No",""
"2015/11/25 10:38:45 AM EST","Yes","No","","Family Vacation","Friends gave a good review","Washington DC","36-45","Expedia local expert","Both","4","Google","","","TripAdvisor","No",""
"2015/11/25 1:13:19 PM EST","Yes","No","","Family Vacation","Searched online","Norway","36-45","Local guide","Landmarks","5","Google","","","Google;Orbits","No",""
"2015/11/26 10:29:23 PM EST","Yes","No","","Adventure","Searched online","Jamaica ","26-35","none","Cultural experiences","3","Google","","","Google;TripAdvisor","No",""
"2015/11/26 11:03:55 PM EST","Yes","No","","Family Vacation;Adventure","I always wanted to visit the place;Searched online","Glacier National Park","36-45","none","Landmarks","5","Google;Phone calls;Other websites","","","Google;TripAdvisor;Hotwire;Kayak","No",""
"2015/11/26 11:43:09 PM EST","Yes","No","","Family Vacation","I always wanted to visit the place","India","36-45","Local guide","Both","4","Google","","","Google;Hotels.com","Yes","About the place I am visiting "
"2015/11/26 11:43:19 PM EST","Yes","No","","Family Vacation","I always wanted to visit the place","India","36-45","Local guide","Both","4","Google","","","Google;Hotels.com","Yes","About the place I am visiting "
"2015/11/27 3:53:12 AM EST","Yes","","","Family Vacation;Adventure","I always wanted to visit the place;Searched online","","26-35","Expedia local expert","Landmarks","4","Google;Phone calls","","","Google;TripAdvisor;Expedia","Yes",""
"2015/11/29 8:54:07 AM EST","Yes","No","","Business;Family Vacation;Spiritual/Riligious","I always wanted to visit the place;Friends gave a good review","Apostle Islands","36-45","none","Landmarks","4","Google;Phone calls","","","Google","No",""
